created_date,count
02/01/2021,2060
03/01/2021,1688
04/01/2021,3913
05/01/2021,3229
06/01/2021,3083
07/01/2021,3041
08/01/2021,2657
09/01/2021,2168
10/01/2021,1745
11/01/2021,3682
12/01/2021,3115
13/01/2021,2933
14/01/2021,3074
15/01/2021,2948
16/01/2021,1923
17/01/2021,1595
18/01/2021,3889
19/01/2021,3265
20/01/2021,3246
21/01/2021,3162
22/01/2021,2949
23/01/2021,2010
24/01/2021,1548
25/01/2021,3627
26/01/2021,3099
27/01/2021,3071
28/01/2021,3259
29/01/2021,2931
30/01/2021,2069
31/01/2021,1627
01/02/2021,3730
02/02/2021,3566
03/02/2021,3287
04/02/2021,3227
05/02/2021,2929
06/02/2021,2100
07/02/2021,1575
08/02/2021,3529
09/02/2021,3250
10/02/2021,3363
11/02/2021,3555
12/02/2021,3519
13/02/2021,2433
14/02/2021,2200
15/02/2021,4584
16/02/2021,3802
17/02/2021,3760
18/02/2021,3501
19/02/2021,3278
20/02/2021,2211
21/02/2021,1995
22/02/2021,4336
23/02/2021,3633
24/02/2021,3469
25/02/2021,3369
26/02/2021,3411
27/02/2021,2187
28/02/2021,2201
01/03/2021,4277
02/03/2021,3528
03/03/2021,3412
04/03/2021,4002
05/03/2021,3025
06/03/2021,2035
07/03/2021,1772
08/03/2021,3894
09/03/2021,3308
10/03/2021,3188
11/03/2021,3060
12/03/2021,3697
13/03/2021,1967
14/03/2021,1439
15/03/2021,3852
16/03/2021,3510
17/03/2021,3350
18/03/2021,3795
19/03/2021,3036
20/03/2021,2119
21/03/2021,1717
22/03/2021,4230
23/03/2021,3834
24/03/2021,3257
25/03/2021,3277
26/03/2021,2893
27/03/2021,2113
28/03/2021,1658
29/03/2021,4051
30/03/2021,3432
31/03/2021,3693
01/04/2021,3023
02/04/2021,1876
03/04/2021,1807
04/04/2021,1263
05/04/2021,2012
06/04/2021,4145
07/04/2021,4153
08/04/2021,3506
09/04/2021,3196
10/04/2021,1908
11/04/2021,1680
12/04/2021,4082
13/04/2021,3504
14/04/2021,3997
15/04/2021,3129
16/04/2021,3195
17/04/2021,1848
18/04/2021,1634
19/04/2021,4186
20/04/2021,3399
21/04/2021,3838
22/04/2021,3290
23/04/2021,3087
24/04/2021,1807
25/04/2021,1623
26/04/2021,4094
27/04/2021,3390
28/04/2021,3701
29/04/2021,3283
30/04/2021,2974
01/05/2021,1783
02/05/2021,1353
03/05/2021,1972
04/05/2021,3942
05/05/2021,3800
06/05/2021,3262
07/05/2021,2938
08/05/2021,1895
09/05/2021,1511
10/05/2021,4020
11/05/2021,3280
12/05/2021,3062
13/05/2021,3389
14/05/2021,2992
15/05/2021,1688
16/05/2021,1618
17/05/2021,4018
18/05/2021,3337
19/05/2021,3469
20/05/2021,2884
21/05/2021,2474
22/05/2021,1804
23/05/2021,1550
24/05/2021,4012
25/05/2021,3277
26/05/2021,3120
27/05/2021,3231
28/05/2021,2713
29/05/2021,1741
30/05/2021,1254
31/05/2021,1714
01/06/2021,3931
02/06/2021,3527
03/06/2021,3016
04/06/2021,3002
05/06/2021,1790
06/06/2021,1664
07/06/2021,4016
08/06/2021,3286
09/06/2021,3307
10/06/2021,3084
11/06/2021,2986
12/06/2021,1770
13/06/2021,1396
14/06/2021,3812
15/06/2021,3090
16/06/2021,3374
17/06/2021,3011
18/06/2021,2914
19/06/2021,1669
20/06/2021,1486
21/06/2021,3782
22/06/2021,3039
23/06/2021,3067
24/06/2021,3201
25/06/2021,2889
26/06/2021,1710
27/06/2021,1478
28/06/2021,3679
29/06/2021,2983
30/06/2021,2957
01/07/2021,3031
02/07/2021,2706
03/07/2021,1690
04/07/2021,1669
05/07/2021,3961
06/07/2021,3152
07/07/2021,3034
08/07/2021,3100
09/07/2021,2652
10/07/2021,1627
11/07/2021,1301
12/07/2021,3929
13/07/2021,3255
14/07/2021,3209
15/07/2021,2923
16/07/2021,2689
17/07/2021,1595
18/07/2021,1419
19/07/2021,3706
20/07/2021,2985
21/07/2021,3220
22/07/2021,3058
23/07/2021,2710
24/07/2021,1591
25/07/2021,1703
26/07/2021,3822
27/07/2021,3347
28/07/2021,3371
29/07/2021,3047
30/07/2021,2775
31/07/2021,1655
01/08/2021,1464
02/08/2021,3858
03/08/2021,3278
04/08/2021,3200
05/08/2021,3020
06/08/2021,2756
07/08/2021,1856
08/08/2021,1524
09/08/2021,3862
10/08/2021,3305
11/08/2021,3038
12/08/2021,2879
13/08/2021,2921
14/08/2021,1701
15/08/2021,1422
16/08/2021,3716
17/08/2021,3105
18/08/2021,2955
19/08/2021,2764
20/08/2021,2876
21/08/2021,1621
22/08/2021,1453
23/08/2021,3742
24/08/2021,3113
25/08/2021,3053
26/08/2021,3046
27/08/2021,2645
28/08/2021,1613
29/08/2021,1334
30/08/2021,1927
31/08/2021,3624
01/09/2021,3181
02/09/2021,3094
03/09/2021,2867
04/09/2021,1731
05/09/2021,1493
06/09/2021,3834
07/09/2021,3205
08/09/2021,3116
09/09/2021,2979
10/09/2021,2682
11/09/2021,1739
12/09/2021,1480
13/09/2021,3570
14/09/2021,3279
15/09/2021,3325
16/09/2021,2930
17/09/2021,2743
18/09/2021,1701
19/09/2021,1415
20/09/2021,3710
21/09/2021,3095
22/09/2021,3095
23/09/2021,3018
24/09/2021,2843
25/09/2021,1418
26/09/2021,1747
27/09/2021,3923
28/09/2021,3200
29/09/2021,3200
30/09/2021,2776
01/10/2021,2657
02/10/2021,1648
03/10/2021,1605
04/10/2021,3929
05/10/2021,3679
06/10/2021,3634
07/10/2021,2957
08/10/2021,2953
09/10/2021,1822
10/10/2021,1666
11/10/2021,4021
12/10/2021,3444
13/10/2021,3439
14/10/2021,2972
15/10/2021,2919
16/10/2021,1741
17/10/2021,1586
18/10/2021,3838
19/10/2021,3294
20/10/2021,3572
21/10/2021,3077
22/10/2021,2876
23/10/2021,1772
24/10/2021,1514
25/10/2021,3807
26/10/2021,3364
27/10/2021,3285
28/10/2021,3358
29/10/2021,2933
30/10/2021,1781
31/10/2021,1661
01/11/2021,4057
02/11/2021,3421
03/11/2021,3339
04/11/2021,3395
05/11/2021,2843
06/11/2021,1747
07/11/2021,1512
08/11/2021,3908
09/11/2021,3439
10/11/2021,3268
11/11/2021,3239
12/11/2021,2858
13/11/2021,1792
14/11/2021,1527
15/11/2021,3972
16/11/2021,3465
17/11/2021,3297
18/11/2021,3246
19/11/2021,2984
20/11/2021,1753
21/11/2021,1558
22/11/2021,4206
23/11/2021,3492
24/11/2021,3454
25/11/2021,3282
26/11/2021,3024
27/11/2021,1850
28/11/2021,1625
29/11/2021,4166
30/11/2021,3652
01/12/2021,3420
02/12/2021,3239
03/12/2021,3025
04/12/2021,1906
05/12/2021,1618
06/12/2021,4181
07/12/2021,3609
08/12/2021,3419
09/12/2021,3346
10/12/2021,3213
11/12/2021,2033
12/12/2021,1776
13/12/2021,4330
14/12/2021,3594
15/12/2021,3576
16/12/2021,3349
17/12/2021,3153
18/12/2021,2116
19/12/2021,1736
20/12/2021,3843
21/12/2021,3360
22/12/2021,3079
23/12/2021,2725
24/12/2021,1703
25/12/2021,662
26/12/2021,1347
27/12/2021,2103
28/12/2021,2108
29/12/2021,3542
30/12/2021,3041
31/12/2021,2330
01/01/2022,1400
02/01/2022,1614
03/01/2022,2450
04/01/2022,4319
05/01/2022,3638
06/01/2022,3417
07/01/2022,3451
08/01/2022,2067
09/01/2022,1833
10/01/2022,4485
11/01/2022,3678
12/01/2022,3464
13/01/2022,3420
14/01/2022,3343
15/01/2022,1936
16/01/2022,1834
17/01/2022,4394
18/01/2022,3812
19/01/2022,3529
20/01/2022,3461
21/01/2022,3463
22/01/2022,2001
23/01/2022,1789
24/01/2022,4421
25/01/2022,3668
26/01/2022,3767
27/01/2022,3403
28/01/2022,3184
29/01/2022,2038
30/01/2022,1635
31/01/2022,4162
01/02/2022,3902
